SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.1KXAM.1326	15	12	31	26	90	0	65	9	426	0	400	76	0	20	304	1	15	57	0	47	191	5	21	2212	0	4101	3	336	1	122	377	2137
GTEX.1L5NE.0426	15	0	2	0	35	4	59	122	185	0	2086	22	87	0	975	0	2	100	0	10	63	6	0	295	0	21	4	2	0	157	2	4573
GTEX.1LB8K.1026	205	127	839	400	158	11	2	6	173	1	3	152	0	480	328	19	314	45	0	36	108	2326	2061	450	6	84	67	1	206	173	1739	836
GTEX.1LC47.1026	9	1044	0	2435	878	516	42	195	445	56	10	627	236	356	125	1299	620	78	0	924	527	33	890	159	8	181	10	81	1194	561	715	3
GTEX.1LG7Y.1226	1162	17	72	377	562	1291	33	131	81	421	1	555	3	141	329	318	1586	117	0	328	282	744	1428	9	591	0	186	29	111	188	14	1
GTEX.1LGRB.1126	28	21	8	8	100	3	785	8	351	0	2849	48	0	0	902	5	14	126	0	42	254	36	19	1953	0	742	26	11	0	176	24	4375
GTEX.1LH75.0426	315	305	113	974	335	1446	43	78	385	791	1	428	7	358	259	2490	549	1088	0	279	238	208	923	56	1065	4	289	494	140	192	56	5
GTEX.1LSNM.0526	49	2	6	105	775	1	1120	8	131	50	3	43	2	1	158	115	65	32	0	16	1243	8	32	134	4	45	3	794	0	278	32	39
GTEX.1LVA9.0926	85	490	157	421	189	179	2	110	193	5	9	66	43	849	103	508	156	66	0	186	17	779	1216	112	355	150	783	102	134	140	1026	45
GTEX.1LVAN.1726	102	711	140	905	388	504	157	78	624	165	62	190	10	191	304	2873	329	132	0	269	222	415	1162	303	317	369	658	476	181	258	493	34
GTEX.1M5QR.1026	374	586	3	992	370	332	0	18	133	63	2	104	0	846	39	621	473	18	0	132	30	240	425	7	424	20	50	16	1474	120	638	1
GTEX.1MCC2.0326	0	33	0	24	30	1	1573	16	467	6	100	33	1	6	40	12	0	50	0	105	460	0	10	314	0	1684	0	209	2	86	113	15
